chr	window_start	reads_all	matches	matchrate
chr1	0	0	0	0
chr1	100	0	0	0
chr1	200	0	0	0
chr1	300	0	0	0
chr1	400	0	0	0
chr1	500	0	0	0
chr1	600	0	0	0
chr1	700	0	0	0
chr1	800	0	0	0
chr1	900	0	0	0
chr1	1000	0	0	0
chr1	1100	0	0	0
chr1	1200	1	1	1
chr1	1300	100	85	0.85
chr1	1400	137	115	0.839416
chr1	1500	200	172	0.86
chr1	1600	200	171	0.855
chr1	1700	236	211	0.894068
chr1	1800	300	239	0.796667
chr1	1900	300	250	0.833333
chr1	2000	300	239	0.796667
chr1	2100	300	248	0.826667
chr1	2200	300	256	0.853333
chr1	2300	300	249	0.83
chr1	2400	305	255	0.836066
chr1	2500	465	374	0.804301
chr1	2600	500	411	0.822
chr1	2700	500	441	0.882
chr1	2800	500	408	0.816
chr1	2900	533	432	0.810507
chr1	3000	600	513	0.855
chr1	3100	600	488	0.813333
chr1	3200	600	459	0.765
chr1	3300	600	485	0.808333
chr1	3400	600	513	0.855
chr1	3500	600	475	0.791667
chr1	3600	600	501	0.835
chr1	3700	640	509	0.795312
chr1	3800	898	756	0.841871
chr1	3900	900	687	0.763333
chr1	4000	900	713	0.792222
chr1	4100	900	756	0.84
chr1	4200	900	700	0.777778
chr1	4300	900	728	0.808889
chr1	4400	900	736	0.817778
chr1	4500	900	747	0.83
chr1	4600	900	754	0.837778
chr1	4700	900	746	0.828889
chr1	4800	900	776	0.862222
chr1	4900	900	742	0.824444
chr1	5000	900	703	0.781111
chr1	5100	900	751	0.834444
chr1	5200	900	723	0.803333
chr1	5300	900	730	0.811111
chr1	5400	900	730	0.811111
chr1	5500	900	776	0.862222
chr1	5600	900	739	0.821111
chr1	5700	900	769	0.854444
chr1	5800	900	748	0.831111
chr1	5900	900	700	0.777778
chr1	6000	900	730	0.811111
chr1	6100	900	716	0.795556
chr1	6200	900	786	0.873333
chr1	6300	900	724	0.804444
chr1	6400	900	781	0.867778
chr1	6500	900	725	0.805556
chr1	6600	900	763	0.847778
chr1	6700	900	717	0.796667
chr1	6800	969	800	0.825593
chr1	6900	1000	798	0.798
chr1	7000	1000	789	0.789
chr1	7100	1000	831	0.831
chr1	7200	1042	871	0.835893
chr1	7300	1100	897	0.815455
chr1	7400	1100	936	0.850909
chr1	7500	1100	933	0.848182
chr1	7600	1100	872	0.792727
chr1	7700	1100	880	0.8
chr1	7800	1100	906	0.823636
chr1	7900	1100	953	0.866364
chr1	8000	1100	909	0.826364
chr1	8100	1100	891	0.81
chr1	8200	1100	921	0.837273
chr1	8300	1100	895	0.813636
chr1	8400	1107	926	0.836495
chr1	8500	1200	974	0.811667
chr1	8600	1200	994	0.828333
chr1	8700	1200	1009	0.840833
chr1	8800	1200	994	0.828333
chr1	8900	1200	1000	0.833333
chr1	9000	1200	992	0.826667
chr1	9100	1200	983	0.819167
chr1	9200	1217	994	0.816763
chr1	9300	1300	1050	0.807692
chr1	9400	1346	1044	0.775632
chr1	9500	1400	1140	0.814286
chr1	9600	1400	1170	0.835714
chr1	9700	1400	1175	0.839286
chr1	9800	1400	1231	0.879286
chr1	9900	1400	1199	0.856429
chr1	10000	1400	1151	0.822143
chr1	10100	1400	1227	0.876429
chr1	10200	1490	1289	0.865101
chr1	10300	1600	1324	0.8275
chr1	10400	1648	1347	0.817354
chr1	10500	1700	1429	0.840588
chr1	10600	1700	1411	0.83
chr1	10700	1700	1295	0.761765
chr1	10800	1700	1405	0.826471
chr1	10900	1700	1434	0.843529
chr1	11000	1700	1404	0.825882
chr1	11100	1700	1377	0.81
chr1	11200	1700	1450	0.852941
chr1	11300	1700	1446	0.850588
chr1	11400	1700	1430	0.841176
chr1	11500	1700	1390	0.817647
chr1	11600	1700	1402	0.824706
chr1	11700	1700	1380	0.811765
chr1	11800	1700	1378	0.810588
chr1	11900	1700	1361	0.800588
chr1	12000	1700	1402	0.824706
chr1	12100	1700	1408	0.828235
chr1	12200	1700	1438	0.845882
chr1	12300	1700	1404	0.825882
chr1	12400	1731	1408	0.813403
chr1	12500	1835	1581	0.86158
chr1	12600	1900	1601	0.842632
chr1	12700	1900	1579	0.831053
chr1	12800	1837	1584	0.862275
chr1	12900	1800	1538	0.854444
chr1	13000	1778	1504	0.845894
chr1	13100	1700	1422	0.836471
chr1	13200	1700	1430	0.841176
chr1	13300	1700	1372	0.807059
chr1	13400	1700	1362	0.801176
chr1	13500	1685	1361	0.807715
chr1	13600	1508	1240	0.822281
chr1	13700	1400	1139	0.813571
chr1	13800	1400	1115	0.796429
chr1	13900	1400	1190	0.85
chr1	14000	1400	1141	0.815
chr1	14100	1400	1139	0.813571
chr1	14200	1400	1155	0.825
chr1	14300	1400	1108	0.791429
chr1	14400	1400	1155	0.825
chr1	14500	1400	1114	0.795714
chr1	14600	1400	1129	0.806429
chr1	14700	1486	1251	0.841857
chr1	14800	1463	1193	0.815448
chr1	14900	1306	1084	0.830015
